PBI,Inspiro PBI link,(Web URL Link accessible to outside inspiro network)
Landing Page,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/11ffe05e-285f-462a-973c-372916a48f41/577d459659ec6a4087a2?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZWU5MWIxNmEtYzQwYy00NDIwLTkyYjMtZmY2ODY0NjkzZTQyIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
Enterprise Report,https://app.powerbi.com/groups/29bdb726-3c19-4572-8a36-7d3f19ccf99c/reports/3666c25d-60c5-4b14-8264-8b043b361b4c/7c801072021c29ebf9a2?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMGRkY2VlZWMtMzJiNi00MzQ5LWE2ZWQtZmU5MjgxOTJmMjgzIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
Consolidated Absenteeism AIRC,https://app.powerbi.com/groups/29bdb726-3c19-4572-8a36-7d3f19ccf99c/reports/a741207a-6f7e-467b-8538-7f2a908cea32/d4da09bf344d38c0ad5d?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYjU0MzIwYjUtMmI4NC00MzViLTk2ZGYtZTViNzRlOTUzZWNlIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-1800 Flowers,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/b25b0a99-1187-47b0-8b23-aa23222acd26/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMTY2Y2ExYWYtODU3Ni00Y2I3LTgyYzctODRlY2Y3OGQxY2M4IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-AHMC,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/0344e213-7749-4732-8a7c-99b6155b62ae/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMzlhMjI5MGUtMmI0NC00MDA5LWI2ZGUtNzBkNTYxNjg1Y2QzIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-ANA,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/d4fc1e82-23c5-475d-910a-ff2d822b83f5/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMTBlODNlZTktYjEyMS00MjgzLTkyMmItMTBiYWMwYTMzZjFhIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-APTELLA,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/f23e21c4-59dc-46b8-a1f3-55159a50f2c4/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYTZhNWQ0YjQtN2QzYy00NGNmLTliY2ItMGIzODBiMTE4ZTBkIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-ASC LTD.,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/36ff5cf5-907d-4c65-b5ba-f9b71b0da70d/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMGYxYzZiMWUtZGY3NC00ZmFlLWFiMzUtMGM0OTBhOGEzMjdjIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-ASUS,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/a9157249-6b4f-4d09-b942-ec76140dbf3f/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMjU4NDI4NmUtYjg2NC00N2EwLTlkODUtOTdkOTIzNDVhOTYyIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-AUB,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/01e93fee-1a29-4561-b159-51eb40f03aaf/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMTZmMzI5N2ItMDdjOC00NGM3LWJjODEtMDc4N2Y5MGNiZGZkIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Bandai,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/6aeb3c16-e221-4802-89eb-11ef34bb33a7/240e87e00bb7ab8a3032?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMGE4Y2I2MzUtNGVkNS00ZDhiLWI2YzctNzM1YWQzNjcyNmIwIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Collection,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/8baa0fa9-218c-4d8f-9e16-56c3d6708625/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNWNhMGVlM2MtMzhiNC00OWNjLThlMzQtYTcwOTQ2YWJhZTY0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Core,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/24756371-14ae-4b33-89f9-e3eb6d97ef0d/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiY2RjMjcxNGYtNzk1MS00MDAyLTk5MzQtYzA0ZDk2ODdmNjAzIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Elite,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/6ffff1e0-f473-47a3-bf99-f794cc8ba49f/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiODFjOGFmYWEtNDMzZC00MjZhLTg5YzctY2U1ZjhhYTE2ZWZlIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Insure,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/f3737b74-6189-4795-b0dc-454a22ef754e/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYzMyOTg2ZTUtMDgyNy00ZTMzLWJlNGYtYmVjMTM3NGNlY2EyIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Life,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/5be14833-1159-4e30-aa83-9033f8a3bc1b/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiM2NlM2VlODEtOGI2Yi00NjhmLTg0YzEtOWQ0NTMxOTE4ZGM1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
